0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/o5.jpg HTTP/1.1" 200 35175
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t7.jpg HTTP/1.1" 200 13397
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/null HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/t8.jpg HTTP/1.1" 200 12788
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/null HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin10.jpg HTTP/1.1" 200 15188
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin11.jpg HTTP/1.1" 200 13778
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin1.jpg HTTP/1.1" 200 10143
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin12.jpg HTTP/1.1" 200 10193
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin13.jpg HTTP/1.1" 200 17239
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin14.jpg HTTP/1.1" 200 11023
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin15.jpg HTTP/1.1" 200 13321
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin16.jpg HTTP/1.1" 200 24999
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin2.jpg HTTP/1.1" 200 9755
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin3.jpg HTTP/1.1" 200 9247
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin4.jpg HTTP/1.1" 200 9498
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin5.jpg HTTP/1.1" 200 12459
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin6.jpg HTTP/1.1" 200 9136
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin7.jpg HTTP/1.1" 200 10834
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin8.jpg HTTP/1.1" 200 10869
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/tin9.jpg HTTP/1.1" 200 9065
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan1.jpg HTTP/1.1" 200 7069
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan10.jpg HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan2.jpg HTTP/1.1" 200 12548
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan3.jpg HTTP/1.1" 200 8148
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan4.jpg HTTP/1.1" 200 8440
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan5.jpg HTTP/1.1" 200 11661
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan6.jpg HTTP/1.1" 200 8393
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan7.jpg HTTP/1.1" 200 9719
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan8.jpg HTTP/1.1" 200 21352
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/toan9.jpg HTTP/1.1" 200 11423
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v1.jpg HTTP/1.1" 200 11438
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v10.jpg HTTP/1.1" 200 11147
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v11.jpg HTTP/1.1" 200 13575
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v13.jpg HTTP/1.1" 200 11182
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v12.jpg HTTP/1.1" 200 33954
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v14.jpg HTTP/1.1" 200 15345
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v15.jpg HTTP/1.1" 200 23920
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v17.jpg HTTP/1.1" 200 12853
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v18.jpg HTTP/1.1" 200 16459
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v19.jpg HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v16.jpg HTTP/1.1" 200 8698
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v2.jpg HTTP/1.1" 200 11365
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v3.jpg HTTP/1.1" 200 11907
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v4.jpg HTTP/1.1" 200 16451
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v5.jpg HTTP/1.1" 200 16435
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v6.jpg HTTP/1.1" 200 11009
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v7.jpg HTTP/1.1" 200 11015
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v8.jpg HTTP/1.1" 200 15520
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/v9.jpg HTTP/1.1" 200 13188
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y1.jpg HTTP/1.1" 200 12335
0:0:0:0:0:0:0:1 - - [31/Oct/2022:08:52:26 +0700] "GET /Itweb/image_sach/y10.jpg HTTP/1.1" 200 17060
